name,description,location,latitude,longitude,category,service_option1,service_option2
บ้านTommyThailand,,https://lh5.googleusercontent.com/p/AF1QipO771r3Mk7E0gACfqszyqOuPZ0UsZ3gRARRZuq7=w122-h92-k-no,16.9438754,104.7155736,·,·,Takeaway
ครัวคุณแวว,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=41lEDBlw8Ixc0iruatk9yg&cb_client=search.gws-prod.gps&w=80&h=92&yaw=274.85223&pitch=0&thumbfov=100,16.9277011,104.6826897,,·,Takeaway
Coffee chill@steak,4.2,https://lh5.googleusercontent.com/p/AF1QipMdKPFALgUnyf1ZJ8_Ms1rzFLwPaCH448wydjzB=w122-h92-k-no,16.9418544,104.7280502,·,·,Takeaway
ลาน-รมณ์ แอดธาตุพนม,5.0,https://lh5.googleusercontent.com/p/AF1QipPt7RtQxWVFs290YvY9iGAZf3moFYflk_JsBply=w80-h106-k-no,16.9540047,104.7256822,·,·,Drive-through
เพ็ญณี,4.8,https://lh5.googleusercontent.com/p/AF1QipM5sb_a6R00bLzb0elSQDkiWQOtzyl28LJL0S_S=w122-h92-k-no,16.9459206,104.7294407,·,·,Kerbside pickup
ร้านอาหารโกออนไนท์,2.9,https://lh5.googleusercontent.com/p/AF1QipNhrPaj4GeSbni0B__2eIxdAsUnfBav6cGRb_ux=w80-h106-k-no,16.9400816,104.724199,·,·,Takeaway
"Ngamta Restaurant, That Phanom Breakfast, Porridge & Pan Fried Eggs, Until 10.30 AM",4.4,https://lh5.googleusercontent.com/p/AF1QipODndsGahUTRRTPfSEGg9uEcNBVhRRjc68374G7=w132-h92-k-no,16.9431052,104.727974,·,·,Takeaway
ก๋วยเตี๋ยวเรือสูตรสมุนไพร,4.4,https://lh5.googleusercontent.com/p/AF1QipPGz3SoFrvEtNxfaq5ZaFXNcH3XSOxH_Vl9V-mV=w80-h106-k-no,16.9531002,104.7255783,·,·,Takeaway
เย็นตาโฟรสเด็ด,4.0,https://lh5.googleusercontent.com/p/AF1QipP3JDGd6hbxNDaEjvMXPqcUnwJLLhklumr9Izru=w122-h92-k-no,16.9464202,104.7250355,·,·,Takeaway
สวนอาหารตุ้มทอง,5.0,https://lh5.googleusercontent.com/p/AF1QipOljy-KW7VwhDUeY71ybf89Dr_6U94R_DaltqXF=w163-h92-k-no,16.9363658,104.7107768,·,·,Takeaway
ร้านข้าวเปียกเส้นริมบึง,5.0,https://lh5.googleusercontent.com/p/AF1QipOTrGOJh8rBofX6sWOGSlr7vjlNweOeiAtaedgC=w163-h92-k-no,16.9463558,104.7276616,·,·,Takeaway
นุชปลาเผา,5.0,https://lh5.googleusercontent.com/p/AF1QipMgPPFGfIVQd2Q7gVxH8jqSecdU8aFezBJyDGMt=w122-h92-k-no,16.9418299,104.7254945,·,·,Kerbside pickup
ร้านอาหารจันทร์เพ็ญ,4.1,https://lh5.googleusercontent.com/p/AF1QipNJWobUXV9OD5hzyKBnWsmzGDtTtyPe9Mc4aCjJ=w122-h92-k-no,16.9417743,104.7206808,·,·,Takeaway
Kao Piak Sen Pai Daeng,4.3,https://lh5.googleusercontent.com/p/AF1QipMoFA9DkNDCihEAqk7XbXJoTiIMZYCc8ZQTYphL=w122-h92-k-no,16.9354687,104.721428,·,·,Takeaway
บ้านสวนเนตรนภา,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=FlBf-p-SjnayazJNll238Q&cb_client=search.gws-prod.gps&w=80&h=92&yaw=188.93141&pitch=0&thumbfov=100,16.9538001,104.7136133,·,·,Takeaway
เอ็ม.เค.,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=ROipZ352y-mdW0OY6QJwlg&cb_client=search.gws-prod.gps&w=80&h=92&yaw=228.90117&pitch=0&thumbfov=100,16.9474832,104.7248417,,·,Takeaway
ครัวยายเอ๊ะ,4.8,https://lh5.googleusercontent.com/p/AF1QipPOKdy1Xczy2ktmk9ygBLCj0a0GmNIvhHWI9qrJ=w199-h92-k-no,16.9461359,104.7210106,·,·,Kerbside pickup
เสือหิว เวลคัม,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=9VVDSgFmpUU8R9Xhlhxrog&cb_client=search.gws-prod.gps&w=80&h=92&yaw=135.65596&pitch=0&thumbfov=100,16.9321391,104.7046592,·,·,Takeaway
ร้านครัวแซ่บเด้อ,3.7,,16.9467479,104.7295991,·,·,Takeaway
เนื้อโคขุน by รัตนะ,4.4,,16.9468135,104.7209967,·,·,Takeaway
ครัวอีสานธาตุพนม,,,16.9457952,104.7212655,·,·,Takeaway
"Ban Khao Hom Porridge, Breakfast Until 10am",4.4,,16.941212,104.7248222,·,·,Takeaway
ร้านครัวแซ่บเด้อ,3.7,https://lh5.googleusercontent.com/p/AF1QipMHJCYNbxcISX62Fv49RA1var54gcK1o9cuuaa1=w92-h92-k-no,16.9467479,104.7295991,·,·,Takeaway
เนื้อโคขุน by รัตนะ,4.4,https://lh5.googleusercontent.com/p/AF1QipOOcJyD8AqM-iOwDkCkmZEI2znlDFQ6t0GRhb-M=w163-h92-k-no,16.9468135,104.7209967,·,·,Takeaway
ครัวอีสานธาตุพนม,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=lZkDXwy0ZIetwYN1f1AcjQ&cb_client=search.gws-prod.gps&w=80&h=92&yaw=105.42479&pitch=0&thumbfov=100,16.9457952,104.7212655,·,·,Takeaway
"Ban Khao Hom Porridge, Breakfast Until 10am",4.4,https://lh5.googleusercontent.com/p/AF1QipP95ZX8CzJ57GPHEPY5I1zpAYO99xUbWoZ7hzWJ=w122-h92-k-no,16.941212,104.7248222,·,·,Takeaway
Benty ข้าวราดแกง อาหารตามสั่ง ก๋วยเตี๋ยว,4.1,,16.9505019,104.72664,·,·,Takeaway
ซูชิน้องมากิ(Suchi N'Maki),5.0,,16.9448327,104.7294542,·,·,Takeaway
กะเพราหม่องเก่า,4.0,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=oyAs2Be5PgDubH7ZP4ljyw&cb_client=search.gws-prod.gps&w=80&h=92&yaw=82.011765&pitch=0&thumbfov=100,16.943128,104.712074,·,·,Takeaway
ไท อินดี้,4.5,,16.934121,104.7150808,·,·,Takeaway
ร้านแซ่บนัว...หัวสะพาน,5.0,,16.9298526,104.6840392,·,·,Kerbside pickup
Benty ข้าวราดแกง อาหารตามสั่ง ก๋วยเตี๋ยว,4.1,https://lh5.googleusercontent.com/p/AF1QipMbUzloQu3bWj-3MQd6jzPfAEuOoNIr8BMWZXTT=w122-h92-k-no,16.9505019,104.72664,·,·,Takeaway
ซูชิน้องมากิ(Suchi N'Maki),5.0,https://lh5.googleusercontent.com/p/AF1QipPQCST80ALFx7fqvTd4EzRecabkRPa1Bvfmx402=w183-h92-k-no,16.9448327,104.7294542,·,·,Takeaway
ไท อินดี้,4.5,https://lh5.googleusercontent.com/p/AF1QipOKtt-8tcAkAjNNGHkaaWaS_ERdhNugxpdoLLBm=w80-h106-k-no,16.934121,104.7150808,·,·,Takeaway
ร้านแซ่บนัว...หัวสะพาน,5.0,https://lh5.googleusercontent.com/p/AF1QipNgyPUH7WcVt2wc9zv6bWczz9YUsDTO4I8DaI9S=w80-h107-k-no,16.9298526,104.6840392,·,·,Kerbside pickup
ครัวมเหสี,3.8,https://lh5.googleusercontent.com/p/AF1QipPNRfmX_VGN0VeVyOKRndyaLWyk8v3p69RvaaIb=w122-h92-k-no,16.9538893,104.7254388,·,·,Takeaway
ขนมจีนยายจิตร (เจ้าเก่า) บ้านต้อง ธาตุพนม,5.0,https://lh5.googleusercontent.com/p/AF1QipPpodOqAE1xelPamsng0ISzQmVNJmdOsvHtJNBI=w80-h106-k-no,16.9246534,104.6816061,·,·,Kerbside pickup
ส้มตำ ไก่ย่าง ปลาเผา,5.0,https://lh5.googleusercontent.com/p/AF1QipPKfSPSrmZdjAJ46JtCZJKkE7rp6ikpBdctskMc=w80-h106-k-no,16.943738,104.7292692,·,·,Takeaway
ร้านคันโขง,4.5,https://lh5.googleusercontent.com/p/AF1QipN-J6F3rZInNDPboqLdRVYHNel-Ic9mi7OCHMLN=w80-h106-k-no,16.9437461,104.7292791,·,·,Takeaway
ชายสี่ บะหมี่เกี๊ยว,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=DqCcS9X1swZhG31UqhO1cg&cb_client=search.gws-prod.gps&w=80&h=92&yaw=347.48807&pitch=0&thumbfov=100,16.944477,104.7267467,·,,
ร้านมาซางวาริมโขง,4.1,https://lh5.googleusercontent.com/p/AF1QipOcH9VNMnZ4FoAJkyk-D8cRulIWUnkXQJg1R72t=w122-h92-k-no,16.9444117,104.7294417,·,·,Takeaway
STANDBY Bar& Restaurant,,https://lh5.googleusercontent.com/p/AF1QipNrPChkY_JdTjyw4yzrqjwo-Dk_srWZceOClauW=w80-h106-k-no,16.9442777,104.7206282,·,·,Kerbside pickup
